LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
25.80077,-76.79562,131.0,5.0,56.0,1147,NORD ANDROMEDA,7,6841519,,,,ESCAR,SG,229.0,,32.0,198.0,22.0,82251.0,6.0
27.72336,-72.65033,134.0,60.0,,12,[SAT-AIS],7,TlRJNE1qRXlOVEk0TWpFeU5USTRNZz09LUJQdm4xQmNNb3hjR203MDduTk12bGc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
27.49352,-79.16099,149.0,251.0,,21,[SAT-AIS],7,TmpNNU16QXpOak01TXpBek5qTTVNdz09LUdrME5rWGRzMXA1SEk3U25qbHlTZnc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.16449,-78.72729,122.0,288.0,288.0,1,VITAKOSMOS,7,1542,,,,USMSY,LR,228.0,0.0,32.0,206.0,21.0,82177.0,6.0
26.12848,-78.5621,121.0,106.0,102.0,580,WORLD PROSPER,7,6692861,,,,EG SUZ,PA,228.0,0.0,32.0,197.0,21.0,82065.0,6.0
25.87867,-76.64653,112.0,80.0,,31,[SAT-AIS],7,TWpnMU9UWTRNamcxT1RZNE1qZzFPUT09LWRuNWoyQ2lWZS9VRjZ3RXRaTVJQQ1E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
25.74414,-77.06693,124.0,7.0,75.0,1101,ALKIMOS HERACLES,7,417724,,,,NL RTM,PA,228.0,,32.0,204.0,21.0,81922.0,6.0
27.1943,-73.17232,122.0,68.0,,4,[SAT-AIS],7,T1RZeU16UTRPVFl5TXpRNE9UWXlNdz09LVdrR2tMV3R3RVpoZEd6MGNaS0Y1Smc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
22.33833,-68.73666,110.0,61.0,,4,[SAT-AIS],7,T1RBMU1ETXlPVEExTURNeU9UQTFNQT09LWcwNU9lMnp1WDEzTDQ1dHdlbTZXdnc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.8886,-79.25317,118.0,326.0,325.0,912,MSC BOSPHORUS,7,419385,,,,US NYC,CY,299.0,0.0,40.0,226.0,20.0,81171.0,11.0
29.575,-78.225,110.0,21.0,,4,[SAT-AIS],7,TWpjME1ERTBNamMwTURFME1qYzBNQT09LVplaHdmdXNlb3NBUUFwZTVVRFdSY2c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
21.815,-73.88333,110.0,37.0,,4,[SAT-AIS],7,TnpNNU9UVTROek01T1RVNE56TTVPUT09LWJEQ2lqdGZQaVA0Q0o3by9FY3gwS2c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
28.42615,-68.17265,101.0,70.0,,4,[SAT-AIS],7,TkRNMk1UTXhORE0yTVRNeE5ETTJNUT09LWZQNkdXT09Xd0JPcjUzT01YVExJT0E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
27.55688,-69.61613,105.0,65.0,,4,[SAT-AIS],7,TXpRM05UTTJNelEzTlRNMk16UTNOUT09LTJObzUwNitkNU9UbDlkOXVJaVJiUXc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
29.31041,-68.8344,114.0,64.0,,5,[SAT-AIS],7,T1RnM09EY3dPVGczT0Rjd09UZzNPQT09LVM2Q3FaVm1xcnU5RHhMS21GOW9NOFE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
27.98,-68.18166,100.0,177.0,,6,[SAT-AIS],8,TlRFMU5EVXlOVEUxTkRVeU5URTFOQT09LXVITE13UUdVNUpLbVFzRkRiZXgwSEE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.82858,-77.36282,120.0,282.0,,36,[SAT-AIS],7,T0RjeE9UTXdPRGN4T1RNd09EY3hPUT09LUZFWDAzUHFUU3lyKy9uWFd1QXNsdkE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
27.71051,-79.13306,11.0,331.0,,27,[SAT-AIS],7,TkRZM01qTTFORFkzTWpNMU5EWTNNZz09LTZvMWtaMTJEUlBXNHNiN1puUHFvR0E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
18.43274,-68.22648,187.0,2.0,25.0,911,NYK ROMULUS,7,725701,,,,CA HAL,SG,294.0,,32.0,223.0,24.0,65883.0,11.0
23.42414,-67.42044,193.0,349.0,,3,[SAT-AIS],7,TWpnd056YzJNamd3TnpjMk1qZ3dOdz09LWpMVG5pYTNUaWxrV2JUWm5ybDUyZUE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
28.83041,-68.67791,114.0,67.0,,6,[SAT-AIS],7,TnpJME1qWXlOekkwTWpZeU56STBNZz09LTdSS0YrRDA1c1BhaTVyZk1SRkJqcWc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
30.16333,-71.51334,120.0,243.0,,6,[SAT-AIS],7,TVRjek1ETTRNVGN6TURNNE1UY3pNQT09LUp0elh2R2xDTmg3RFVFcFlSTE5lMGc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
26.31,-74.13333,90.0,0.0,,3,[SAT-AIS],7,T0RjNE5UTTJPRGM0TlRNMk9EYzROUT09LUlvK2NyNmFRdlh2NHFEVjVpTitkQ2c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
27.73667,-71.635,120.0,64.0,,5,[SAT-AIS],7,TVRnMU16VTFNVGcxTXpVMU1UZzFNdz09LXFiSDJhZEhldVpLR2RaWXRTWXY0cVE9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
24.06639,-74.89539,7.0,285.0,,6,[SAT-AIS],7,T1RVeE5EazRPVFV4TkRrNE9UVXhOQT09LTVVcnBiWmRXRXNUc0xqTm85YURRMnc9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
21.48988,-72.6907,122.0,12.0,,6,[SAT-AIS],7,TnpZME1EUTVOelkwTURRNU56WTBNQT09LXBzSFpMSkZSckRiRS8xT0ZEcENLQ0E9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
